"Artista";"Titulo";"Duracion";"Categoria";"Idioma";"Carpeta";"Letra";"Cancion";"Video"
"Luis Fonsi";"No me doy por vencido";"N/A";"N/A";"Español";"Luis Fonsi - No me doy por vencido.txt";"C:\UltraStar canciones\Luis Fonsi - No me doy por vencido\Luis Fonsi - No me doy por vencido.txt";"C:\UltraStar canciones\Luis Fonsi - No me doy por vencido\Luis Fonsi - No me doy por vencido.mp3";"C:\UltraStar canciones\Luis Fonsi - No me doy por vencido\Luis Fonsi - No me doy por vencido.avi"
"Luis Fonsi";"Quien te dijo eso";"N/A";"N/A";"Espa�ol";"Luis Fonsi - Quien te dijo eso.txt";"C:\UltraStar canciones\Luis Fonsi - Quien te dijo eso\Luis Fonsi - Quien te dijo eso.txt";"C:\UltraStar canciones\Luis Fonsi - Quien te dijo eso\Luis Fonsi - Quien te dijo eso.mp3";"C:\UltraStar canciones\Luis Fonsi - Quien te dijo eso\Luis Fonsi - Quien te dijo eso.avi"
"Luis Fonsi";"Quisiera poder olvidarme de ti";"N/A";"N/A";"Español";"Luis Fonsi - Quisiera poder olvidarme de ti.txt";"C:\UltraStar canciones\Luis Fonsi - Quisiera poder olvidarme de ti\Luis Fonsi - Quisiera poder olvidarme de ti.txt";"C:\UltraStar canciones\Luis Fonsi - Quisiera poder olvidarme de ti\Luis Fonsi - Quisiera poder olvidarme de ti.mp3";"N/A"
"Luis Fonsi feat. Daddy Yankee";"Despacito";"N/A";"N/A";"Español";"Luis Fonsi feat. Daddy Yankee - Despacito.txt";"C:\UltraStar canciones\Luis Fonsi feat. Daddy Yankee - Despacito\Luis Fonsi feat. Daddy Yankee - Despacito.txt";"C:\UltraStar canciones\Luis Fonsi feat. Daddy Yankee - Despacito\Luis Fonsi feat. Daddy Yankee - Despacito.mp3";"C:\UltraStar canciones\Luis Fonsi feat. Daddy Yankee - Despacito\Luis Fonsi feat. Daddy Yankee - Despacito.mp4"
"Luis Fonsi feat. Daddy Yankee";"Despacito";"N/A";"N/A";"Español";"Luis Fonsi feat. Daddy Yankee - Despacito [MULTI].txt";"C:\UltraStar canciones\Luis Fonsi feat. Daddy Yankee - Despacito\Luis Fonsi feat. Daddy Yankee - Despacito [MULTI].txt";"C:\UltraStar canciones\Luis Fonsi feat. Daddy Yankee - Despacito\Luis Fonsi feat. Daddy Yankee - Despacito.mp3";"C:\UltraStar canciones\Luis Fonsi feat. Daddy Yankee - Despacito\Luis Fonsi feat. Daddy Yankee - Despacito.mp4"
"Luis Fonsi y Demi Lovato";"Échame la culpa";"N/A";"Pop";"Español";"Luis Fonsi y Demi Lovato - Échame la culpa [MULTI].txt";"C:\UltraStar canciones\Luis Fonsi y Demi Lovato - Échame la culpa\Luis Fonsi y Demi Lovato - Échame la culpa [MULTI].txt";"C:\UltraStar canciones\Luis Fonsi y Demi Lovato - Échame la culpa\Luis Fonsi y Demi Lovato - Échame la culpa.mp3";"C:\UltraStar canciones\Luis Fonsi y Demi Lovato - Échame la culpa\Luis Fonsi y Demi Lovato - Échame la culpa.mp4"
"Luis Fonsi y Demi Lovato";"Échame la culpa";"N/A";"Pop";"Español";"Luis Fonsi y Demi Lovato - Échame la culpa.txt";"C:\UltraStar canciones\Luis Fonsi y Demi Lovato - Échame la culpa\Luis Fonsi y Demi Lovato - Échame la culpa.txt";"C:\UltraStar canciones\Luis Fonsi y Demi Lovato - Échame la culpa\Luis Fonsi y Demi Lovato - Échame la culpa.mp3";"C:\UltraStar canciones\Luis Fonsi y Demi Lovato - Échame la culpa\Luis Fonsi y Demi Lovato - Échame la culpa.mp4"
"Luis Fonsi y Ozuna";"Imposible";"N/A";"N/A";"Español";"Luis Fonsi y Ozuna - Imposible.txt";"C:\UltraStar canciones\Luis Fonsi y Ozuna - Imposible\Luis Fonsi y Ozuna - Imposible.txt";"N/A";"C:\UltraStar canciones\Luis Fonsi y Ozuna - Imposible\Luis Fonsi y Ozuna - Imposible.mkv"
"Luis Jara";"Mañana";"N/A";"N/A";"Español";"Luis Jara - Mañana.txt";"C:\UltraStar canciones\Luis Jara - Mañana\Luis Jara - Mañana.txt";"C:\UltraStar canciones\Luis Jara - Mañana\Luis Jara - Mañana.mp3";"C:\UltraStar canciones\Luis Jara - Mañana\Luis Jara - Mañana.avi"
"Luis Jara";"No s� olvidarte";"N/A";"N/A";"Espa�ol";"Luis Jara - No sé olvidarte.txt";"C:\UltraStar canciones\Luis Jara - No sé olvidarte\Luis Jara - No sé olvidarte.txt";"C:\UltraStar canciones\Luis Jara - No sé olvidarte\Luis Jara - No sé olvidarte.mp3";"N/A"
"Luis Jara";"�mame";"N/A";"N/A";"Espa�ol";"Luis Jara - Ámame.txt";"C:\UltraStar canciones\Luis Jara - Ámame\Luis Jara - Ámame.txt";"C:\UltraStar canciones\Luis Jara - Ámame\Luis Jara - Ámame.mp3";"C:\UltraStar canciones\Luis Jara - Ámame\Luis Jara - Ámame.avi"
"Luis Miguel";"Ahora te puedes marchar";"N/A";"Pop";"Español";"Luis Miguel - Ahora te puedes marchar.txt";"C:\UltraStar canciones\Luis Miguel - Ahora te puedes marchar\Luis Miguel - Ahora te puedes marchar.txt";"C:\UltraStar canciones\Luis Miguel - Ahora te puedes marchar\Luis Miguel - Ahora te puedes marchar.mp3";"C:\UltraStar canciones\Luis Miguel - Ahora te puedes marchar\Luis Miguel - Ahora te puedes marchar.avi"
"Luis Miguel";"Entrégate";"N/A";"N/A";"Español";"Luis Miguel - Entrégate.txt";"C:\UltraStar canciones\Luis Miguel - Entrégate\Luis Miguel - Entrégate.txt";"C:\UltraStar canciones\Luis Miguel - Entrégate\Luis Miguel - Entrégate.mp3";"C:\UltraStar canciones\Luis Miguel - Entrégate\Luis Miguel - Entrégate.mp4"
"Luis Miguel";"La barca";"N/A";"N/A";"Español";"Luis Miguel - La barca.txt";"C:\UltraStar canciones\Luis Miguel - La barca\Luis Miguel - La barca.txt";"C:\UltraStar canciones\Luis Miguel - La barca\Luis Miguel - La barca.mp3";"C:\UltraStar canciones\Luis Miguel - La barca\Luis Miguel - La barca.avi"
"Luis Miguel";"La Bikina";"N/A";"Huapango";"Español";"Luis Miguel - La Bikina.txt";"C:\UltraStar canciones\Luis Miguel - La Bikina\Luis Miguel - La Bikina.txt";"C:\UltraStar canciones\Luis Miguel - La Bikina\Luis Miguel - La Bikina.mp3";"C:\UltraStar canciones\Luis Miguel - La Bikina\Luis Miguel - La Bikina.mp4"
"Luis Miguel";"La chica del bikini azul";"N/A";"Latino";"Espa�ol";"Luis Miguel - La chica del bikini azul.txt";"C:\UltraStar canciones\Luis Miguel - La chica del bikini azul\Luis Miguel - La chica del bikini azul.txt";"C:\UltraStar canciones\Luis Miguel - La chica del bikini azul\Luis Miguel - La chica del bikini azul.mp3";"C:\UltraStar canciones\Luis Miguel - La chica del bikini azul\Luis Miguel - La chica del bikini azul.mp4"
"Luis Miguel";"La incondicional";"N/A";"N/A";"Español";"Luis Miguel - La incondicional.txt";"C:\UltraStar canciones\Luis Miguel - La incondicional\Luis Miguel - La incondicional.txt";"C:\UltraStar canciones\Luis Miguel - La incondicional\Luis Miguel - La incondicional.mp3";"C:\UltraStar canciones\Luis Miguel - La incondicional\Luis Miguel - La incondicional.avi"
"Luis Miguel";"Por debajo de la mesa";"N/A";"N/A";"Español";"Luis Miguel - Por debajo de la mesa.txt";"C:\UltraStar canciones\Luis Miguel - Por debajo de la mesa\Luis Miguel - Por debajo de la mesa.txt";"C:\UltraStar canciones\Luis Miguel - Por debajo de la mesa\Luis Miguel - Por debajo de la mesa.mp3";"C:\UltraStar canciones\Luis Miguel - Por debajo de la mesa\Luis Miguel - Por debajo de la mesa.mp4"
"Luis Miguel";"Reloj";"N/A";"N/A";"Espa�ol";"Luis Miguel - Reloj.txt";"C:\UltraStar canciones\Luis Miguel - Reloj\Luis Miguel - Reloj.txt";"C:\UltraStar canciones\Luis Miguel - Reloj\Luis Miguel - Reloj.mp3";"C:\UltraStar canciones\Luis Miguel - Reloj\Luis Miguel - Reloj.avi"
"Lukas Graham";"7 Years";"N/A";"Pop, Soul";"English";"Lukas Graham - 7 Years.txt";"C:\UltraStar canciones\L\Lukas Graham - 7 Years\Lukas Graham - 7 Years.txt";"N/A";"N/A"
"Lynyrd Skynyrd";"Sweet Home Alabama";"N/A";"rock";"English";"Lynyrd Skynyrd - Sweet Home Alabama.txt";"C:\UltraStar canciones\L\Lynyrd Skynyrd - Sweet Home Alabama\Lynyrd Skynyrd - Sweet Home Alabama.txt";"N/A";"N/A"
"Madonna";"American Pie";"N/A";"N/A";"English";"Madonna - American Pie.txt";"C:\UltraStar canciones\M\Madonna - American Pie\Madonna - American Pie.txt";"N/A";"N/A"
"Madonna";"Don't Cry For Me Argentina";"N/A";"N/A";"English";"Madonna - Don't Cry For Me Argentina.txt";"C:\UltraStar canciones\M\Madonna - Don't Cry For Me Argentina\Madonna - Don't Cry For Me Argentina.txt";"N/A";"N/A"
"Madonna";"Drowned World (Substitute For Love)";"N/A";"N/A";"English";"Madonna - Drowned World (Substitute for Love).txt";"C:\UltraStar canciones\M\Madonna - Drowned World (Substitute For Love)\Madonna - Drowned World (Substitute for Love).txt";"N/A";"N/A"
"Madonna";"Frozen";"N/A";"N/A";"English";"Madonna - Frozen.txt";"C:\UltraStar canciones\M\Madonna - Frozen\Madonna - Frozen.txt";"N/A";"N/A"
"Madonna";"Get Into The Groove";"N/A";"N/A";"English";"Madonna - Get Into The Groove.txt";"C:\UltraStar canciones\M\Madonna - Get Into The Groove\Madonna - Get Into The Groove.txt";"N/A";"N/A"
"Madonna";"Holiday";"N/A";"N/A";"English";"Madonna - Holiday.txt";"C:\UltraStar canciones\M\Madonna - Holiday\Madonna - Holiday.txt";"N/A";"N/A"
"Madonna";"Hollywood";"N/A";"Pop";"English";"Madonna - Hollywood.txt";"C:\UltraStar canciones\M\Madonna - Hollywood\Madonna - Hollywood.txt";"N/A";"N/A"
"Madonna";"Hung Up";"N/A";"N/A";"English";"Madonna - Hung Up.txt";"C:\UltraStar canciones\M\Madonna - Hung Up\Madonna - Hung Up.txt";"N/A";"N/A"
"Madonna";"La Isla Bonita";"N/A";"N/A";"English";"Madonna - La Isla Bonita.txt";"C:\UltraStar canciones\M\Madonna - La Isla Bonita\Madonna - La Isla Bonita.txt";"N/A";"N/A"
"Madonna";"Like A Prayer";"N/A";"N/A";"English";"Madonna - Like a Prayer.txt";"C:\UltraStar canciones\M\Madonna - Like A Prayer\Madonna - Like a Prayer.txt";"N/A";"N/A"
"Madonna";"Like A Virgin";"N/A";"N/A";"English";"Madonna - Like A Virgin.txt";"C:\UltraStar canciones\M\Madonna - Like A Virgin\Madonna - Like A Virgin.txt";"N/A";"N/A"
"Madonna";"Material Girl";"N/A";"N/A";"English";"Madonna - Material Girl.txt";"C:\UltraStar canciones\M\Madonna - Material Girl\Madonna - Material Girl.txt";"N/A";"N/A"
"Madonna";"Papa Don't Preach";"N/A";"Pop";"English";"Madonna - Papa Don't Preach.txt";"C:\UltraStar canciones\M\Madonna - Papa Don't Preach\Madonna - Papa Don't Preach.txt";"N/A";"N/A"
"Madonna";"Sorry";"N/A";"N/A";"English";"Madonna - Sorry.txt";"C:\UltraStar canciones\M\Madonna - Sorry\Madonna - Sorry.txt";"N/A";"N/A"
"Madonna";"Take A Bow";"N/A";"N/A";"English";"Madonna - Take A Bow.txt";"C:\UltraStar canciones\M\Madonna - Take A Bow\Madonna - Take A Bow.txt";"N/A";"N/A"
"Madonna feat. Justin Timberlake";"4 Minutes";"N/A";"N/A";"English";"Madonna feat. Justin Timberlake - 4 Minutes.txt";"C:\UltraStar canciones\M\Madonna feat. Justin Timberlake - 4 Minutes\Madonna feat. Justin Timberlake - 4 Minutes.txt";"N/A";"N/A"
"Magneto";"Vuela vuela";"N/A";"N/A";"Espa�ol";"Magneto - Vuela vuela.txt";"C:\UltraStar canciones\Magneto - Vuela vuela\Magneto - Vuela vuela.txt";"C:\UltraStar canciones\Magneto - Vuela vuela\Magneto - Vuela vuela.mp3";"C:\UltraStar canciones\Magneto - Vuela vuela\Magneto - Vuela vuela.mp4"
"Mago de Oz";"Siempre (Adiós Dulcinea)";"N/A";"Folk Metal";"Español";"Mago de Oz - Siempre (Adiós Dulcinea).txt";"C:\UltraStar canciones\Mago de Oz - Siempre (Adiós Dulcinea)\Mago de Oz - Siempre (Adiós Dulcinea).txt";"C:\UltraStar canciones\Mago de Oz - Siempre (Adiós Dulcinea)\Mago de Oz - Siempre (Adiós Dulcinea).mp3";"C:\UltraStar canciones\Mago de Oz - Siempre (Adiós Dulcinea)\Mago de Oz - Siempre (Adiós Dulcinea).avi"
"Mägo de Oz";"El atrapasueños";"N/A";"Folk-Metal";"Español";"Mägo de Oz - El atrapasueños.txt";"C:\UltraStar canciones\Mägo de Oz - El atrapasueños\Mägo de Oz - El atrapasueños.txt";"C:\UltraStar canciones\Mägo de Oz - El atrapasueños\Mägo de Oz - El atrapasueños.mp3";"C:\UltraStar canciones\Mägo de Oz - El atrapasueños\Mägo de Oz - El atrapasueños.avi"
"Mägo de Oz";"El poema de la lluvia triste";"N/A";"Folk Metal";"Español";"Mägo de Oz - El poema de la lluvia triste.txt";"C:\UltraStar canciones\Mägo de Oz - El poema de la lluvia triste\Mägo de Oz - El poema de la lluvia triste.txt";"C:\UltraStar canciones\Mägo de Oz - El poema de la lluvia triste\Mägo de Oz - El poema de la lluvia triste.mp3";"C:\UltraStar canciones\Mägo de Oz - El poema de la lluvia triste\Mägo de Oz - El poema de la lluvia triste.mp4"
"Mägo de Oz";"El que quiera entender que entienda";"N/A";"Rock";"Español";"Mägo de Oz - El que quiera entender que entienda.txt";"C:\UltraStar canciones\Mägo de Oz - El que quiera entender que entienda\Mägo de Oz - El que quiera entender que entienda.txt";"C:\UltraStar canciones\Mägo de Oz - El que quiera entender que entienda\Mägo de Oz - El que quiera entender que entienda.mp3";"C:\UltraStar canciones\Mägo de Oz - El que quiera entender que entienda\Mägo de Oz - El que quiera entender que entienda.mp4"
"Mägo de Oz";"Fiesta pagana";"N/A";"Folk-Rock";"Español";"Mägo de Oz - Fiesta pagana.txt";"C:\UltraStar canciones\Mägo de Oz - Fiesta pagana\Mägo de Oz - Fiesta pagana.txt";"C:\UltraStar canciones\Mägo de Oz - Fiesta pagana\Mägo de Oz - Fiesta pagana.mp3";"C:\UltraStar canciones\Mägo de Oz - Fiesta pagana\Mägo de Oz - Fiesta pagana.avi"
"Mägo de Oz";"Hoy toca ser feliz";"N/A";"N/A";"Español";"Mägo de Oz - Hoy toca ser feliz.txt";"C:\UltraStar canciones\Mägo de Oz - Hoy toca ser feliz\Mägo de Oz - Hoy toca ser feliz.txt";"C:\UltraStar canciones\Mägo de Oz - Hoy toca ser feliz\Mägo de Oz - Hoy toca ser feliz.mp3";"C:\UltraStar canciones\Mägo de Oz - Hoy toca ser feliz\Mägo de Oz - Hoy toca ser feliz.mp4"
"Mägo de Oz";"Jesús de Chamberi";"N/A";"Folk-Metal";"Español";"Mägo de Oz - Jesús de Chamberi.txt";"C:\UltraStar canciones\Mägo de Oz - Jesús de Chamberi\Mägo de Oz - Jesús de Chamberi.txt";"C:\UltraStar canciones\Mägo de Oz - Jesús de Chamberi\Mägo de Oz - Jesús de Chamberi.mp3";"C:\UltraStar canciones\Mägo de Oz - Jesús de Chamberi\Mägo de Oz - Jesús de Chamberi.avi"
"Mägo de Oz";"La costa del silencio";"N/A";"Rock";"Español";"Mägo de Oz - La costa del silencio.txt";"C:\UltraStar canciones\Mägo de Oz - La costa del silencio\Mägo de Oz - La costa del silencio.txt";"C:\UltraStar canciones\Mägo de Oz - La costa del silencio\Mägo de Oz - La costa del silencio.mp3";"C:\UltraStar canciones\Mägo de Oz - La costa del silencio\Mägo de Oz - La costa del silencio.avi"
"Mägo de Oz";"La posada de los muertos";"N/A";"Folk-Metal";"Español";"Mägo de Oz - La posada de los muertos.txt";"C:\UltraStar canciones\Mägo de Oz - La posada de los muertos\Mägo de Oz - La posada de los muertos.txt";"C:\UltraStar canciones\Mägo de Oz - La posada de los muertos\Mägo de Oz - La posada de los muertos.mp3";"C:\UltraStar canciones\Mägo de Oz - La posada de los muertos\Mägo de Oz - La posada de los muertos.avi"
"Mägo de Oz";"La última cena";"N/A";"Folk Metal";"Español";"Mägo de Oz - La última cena.txt";"C:\UltraStar canciones\Mägo de Oz - La última cena\Mägo de Oz - La última cena.txt";"C:\UltraStar canciones\Mägo de Oz - La última cena\Mägo de Oz - La última cena.mp3";"C:\UltraStar canciones\Mägo de Oz - La última cena\Mägo de Oz - La última cena.avi"
"Mägo de Oz";"Molinos de viento";"N/A";"Folk-Rock";"Español";"Mägo de Oz - Molinos de viento.txt";"C:\UltraStar canciones\Mägo de Oz - Molinos de viento\Mägo de Oz - Molinos de viento.txt";"C:\UltraStar canciones\Mägo de Oz - Molinos de viento\Mägo de Oz - Molinos de viento.mp3";"C:\UltraStar canciones\Mägo de Oz - Molinos de viento\Mägo de Oz - Molinos de viento.avi"
"Mägo de Oz";"Pensando en ti";"N/A";"N/A";"Español";"Mägo de Oz - Pensando en ti.txt";"C:\UltraStar canciones\Mägo de Oz - Pensando en ti\Mägo de Oz - Pensando en ti.txt";"C:\UltraStar canciones\Mägo de Oz - Pensando en ti\Mägo de Oz - Pensando en ti.mp3";"N/A"
"Mägo de Oz";"Sin ti, sería silencio II";"N/A";"Balada";"Español";"Mägo de Oz - Sin ti, sería silencio II.txt";"C:\UltraStar canciones\Mägo de Oz - Sin ti, sería silencio II\Mägo de Oz - Sin ti, sería silencio II.txt";"C:\UltraStar canciones\Mägo de Oz - Sin ti, sería silencio II\Mägo de Oz - Sin ti, sería silencio II.mp3";"N/A"
"Mägo de Oz";"Xanandra";"N/A";"Folk Metal";"Español";"Mägo de Oz - Xanandra.txt";"C:\UltraStar canciones\Mägo de Oz - Xanandra\Mägo de Oz - Xanandra.txt";"C:\UltraStar canciones\Mägo de Oz - Xanandra\Mägo de Oz - Xanandra.mp3";"C:\UltraStar canciones\Mägo de Oz - Xanandra\Mägo de Oz - Xanandra.mp4"
"Mägo de Oz";"Y ahora voy a salir";"N/A";"N/A";"Español";"Mägo de Oz - Y ahora voy a salir.txt";"C:\UltraStar canciones\Mägo de Oz - Y ahora voy a salir\Mägo de Oz - Y ahora voy a salir.txt";"C:\UltraStar canciones\Mägo de Oz - Y ahora voy a salir\Mägo de Oz - Y ahora voy a salir.mp3";"C:\UltraStar canciones\Mägo de Oz - Y ahora voy a salir\Mägo de Oz - Y ahora voy a salir.mp4"
"Mägo de Oz con Victor García";"Hazme un sitio entre tu piel";"N/A";"Folk Metal";"Español";"Mägo de Oz con Victor García - Hazme un sitio entre tu piel [MULTI].txt";"C:\UltraStar canciones\Mägo de Oz con Victor García - Hazme un sitio entre tu piel\Mägo de Oz con Victor García - Hazme un sitio entre tu piel [MULTI].txt";"C:\UltraStar canciones\Mägo de Oz con Victor García - Hazme un sitio entre tu piel\Mägo de Oz con Victor García - Hazme un sitio entre tu piel.mp3";"N/A"
"Mägo de Oz con Victor García";"Hazme un sitio entre tu piel";"N/A";"Folk Metal";"Español";"Mägo de Oz con Victor García - Hazme un sitio entre tu piel.txt";"C:\UltraStar canciones\Mägo de Oz con Victor García - Hazme un sitio entre tu piel\Mägo de Oz con Victor García - Hazme un sitio entre tu piel.txt";"C:\UltraStar canciones\Mägo de Oz con Victor García - Hazme un sitio entre tu piel\Mägo de Oz con Victor García - Hazme un sitio entre tu piel.mp3";"N/A"
"Makano";"Dejame entrar";"N/A";"N/A";"Español";"Makano - Dejame entrar.txt";"C:\UltraStar canciones\Makano - Dejame entrar\Makano - Dejame entrar.txt";"C:\UltraStar canciones\Makano - Dejame entrar\Makano - Dejame entrar.mp3";"C:\UltraStar canciones\Makano - Dejame entrar\Makano - Dejame entrar.avi"
"Makano";"Te amo";"N/A";"Reggaeton";"Español";"Makano - Te amo.txt";"C:\UltraStar canciones\Makano - Te amo\Makano - Te amo.txt";"C:\UltraStar canciones\Makano - Te amo\Makano - Te amo.mp3";"C:\UltraStar canciones\Makano - Te amo\Makano - Te amo.avi"
"Mala Junta";"Blanco, rojo y azul";"N/A";"N/A";"Espa�ol";"Mala Junta - Blanco, rojo y azul.txt";"C:\UltraStar canciones\Mala Junta - Blanco, rojo y azul\Mala Junta - Blanco, rojo y azul.txt";"C:\UltraStar canciones\Mala Junta - Blanco, rojo y azul\Mala Junta - Blanco, rojo y azul.mp3";"N/A"
"Mala Junta";"Chileno de corazón";"N/A";"N/A";"Español";"Mala Junta - Chileno de corazón.txt";"C:\UltraStar canciones\Mala Junta - Chileno de corazón\Mala Junta - Chileno de corazón.txt";"C:\UltraStar canciones\Mala Junta - Chileno de corazón\Mala Junta - Chileno de corazón.mp3";"N/A"
"Maluma";"El perdedor";"N/A";"Pop / Reggaeton";"Español";"Maluma - El perdedor.txt";"C:\UltraStar canciones\Maluma - El perdedor\Maluma - El perdedor.txt";"C:\UltraStar canciones\Maluma - El perdedor\Maluma - El perdedor.mp3";"C:\UltraStar canciones\Maluma - El perdedor\Maluma - El perdedor.mp4"
"Maluma";"Felices los 4";"N/A";"N/A";"Español";"Maluma - Felices los 4.txt";"C:\UltraStar canciones\Maluma - Felices los 4\Maluma - Felices los 4.txt";"C:\UltraStar canciones\Maluma - Felices los 4\Maluma - Felices los 4.mp3";"C:\UltraStar canciones\Maluma - Felices los 4\Maluma - Felices los 4.mp4"
"Maná";"Amor clandestino";"N/A";"Pop";"Español";"Maná - Amor clandestino.txt";"C:\UltraStar canciones\Maná - Amor clandestino\Maná - Amor clandestino.txt";"C:\UltraStar canciones\Maná - Amor clandestino\Maná - Amor clandestino.mp3";"C:\UltraStar canciones\Maná - Amor clandestino\Maná - Amor clandestino.mp4"
"Maná";"Ángel de amor";"N/A";"Pop Rock";"Español";"Maná - Ángel de amor.txt";"C:\UltraStar canciones\Maná - Ángel de amor\Maná - Ángel de amor.txt";"C:\UltraStar canciones\Maná - Ángel de amor\Maná - Ángel de amor.mp3";"C:\UltraStar canciones\Maná - Ángel de amor\Maná - Ángel de amor.MP4"
"Maná";"Clavado en un bar";"N/A";"90's Español";"Español";"Maná - Clavado en un bar.txt";"C:\UltraStar canciones\Maná - Clavado en un bar\Maná - Clavado en un bar.txt";"C:\UltraStar canciones\Maná - Clavado en un bar\Maná - Clavado en un bar.mp3";"C:\UltraStar canciones\Maná - Clavado en un bar\Maná - Clavado en un bar.mp4"
"Maná";"El verdadero amor perdona";"N/A";"Rock";"Español";"Maná - El verdadero amor perdona.txt";"C:\UltraStar canciones\Maná - El verdadero amor perdona\Maná - El verdadero amor perdona.txt";"C:\UltraStar canciones\Maná - El verdadero amor perdona\Maná - El verdadero amor perdona.mp3";"C:\UltraStar canciones\Maná - El verdadero amor perdona\Maná - El verdadero amor perdona.mp4"
"Maná";"En el muelle de San Blas";"N/A";"N/A";"Español";"Maná - En el muelle de San Blas.txt";"C:\UltraStar canciones\Maná - En el muelle de San Blas\Maná - En el muelle de San Blas.txt";"C:\UltraStar canciones\Maná - En el muelle de San Blas\Maná - En el muelle de San Blas.mp3";"C:\UltraStar canciones\Maná - En el muelle de San Blas\Maná - En el muelle de San Blas.avi"
"Maná";"Eres mi religión";"N/A";"N/A";"Español";"Maná - Eres mi religión.txt";"C:\UltraStar canciones\Maná - Eres mi religión\Maná - Eres mi religión.txt";"C:\UltraStar canciones\Maná - Eres mi religión\Maná - Eres mi religión.mp3";"C:\UltraStar canciones\Maná - Eres mi religión\Maná - Eres mi religión.mp4"
"Maná";"Labios compartidos";"N/A";"Rock";"Español";"Maná - Labios compartidos.txt";"C:\UltraStar canciones\Maná - Labios compartidos\Maná - Labios compartidos.txt";"C:\UltraStar canciones\Maná - Labios compartidos\Maná - Labios compartidos.mp3";"C:\UltraStar canciones\Maná - Labios compartidos\Maná - Labios compartidos.avi"
"Maná";"Manda una señal";"N/A";"N/A";"Español";"Maná - Manda una señal.txt";"C:\UltraStar canciones\Maná - Manda una señal\Maná - Manda una señal.txt";"C:\UltraStar canciones\Maná - Manda una señal\Maná - Manda una señal.mp3";"C:\UltraStar canciones\Maná - Manda una señal\Maná - Manda una señal.avi"
"Maná";"No ha parado de llover";"N/A";"N/A";"Español";"Maná - No ha parado de llover.txt";"C:\UltraStar canciones\Maná - No ha parado de llover\Maná - No ha parado de llover.txt";"C:\UltraStar canciones\Maná - No ha parado de llover\Maná - No ha parado de llover.mp3";"C:\UltraStar canciones\Maná - No ha parado de llover\Maná - No ha parado de llover.mp4"
"Maná";"Oye mi amor";"N/A";"Pop Rock";"Español";"Maná - Oye mi amor.txt";"C:\UltraStar canciones\Maná - Oye mi amor\Maná - Oye mi amor.txt";"C:\UltraStar canciones\Maná - Oye mi amor\Maná - Oye mi amor.mp3";"C:\UltraStar canciones\Maná - Oye mi amor\Maná - Oye mi amor.mp4"
"Maná";"Se me olvido otra vez";"N/A";"N/A";"Español";"Maná - Se me olvido otra vez.txt";"C:\UltraStar canciones\Maná - Se me olvido otra vez\Maná - Se me olvido otra vez.txt";"C:\UltraStar canciones\Maná - Se me olvido otra vez\Maná - Se me olvido otra vez.mp3";"N/A"
"Maná";"Si no te hubieras ido";"N/A";"N/A";"Español";"Maná - Si no te hubieras ido.txt";"C:\UltraStar canciones\Maná - Si no te hubieras ido\Maná - Si no te hubieras ido.txt";"C:\UltraStar canciones\Maná - Si no te hubieras ido\Maná - Si no te hubieras ido.mp3";"C:\UltraStar canciones\Maná - Si no te hubieras ido\Maná - Si no te hubieras ido [VD#0].avi"
"Maná con Shakira";"Mi verdad";"N/A";"Pop";"Español";"Maná con Shakira - Mi verdad.txt";"C:\UltraStar canciones\Maná con Shakira - Mi verdad\Maná con Shakira - Mi verdad.txt";"C:\UltraStar canciones\Maná con Shakira - Mi verdad\Maná con Shakira - Mi verdad.mp3";"C:\UltraStar canciones\Maná con Shakira - Mi verdad\Maná con Shakira - Mi verdad.mp4"
"Maná con Shakira";"Mi verdad";"N/A";"Pop";"Español";"Maná con Shakira - Mi verdad [MULTI].txt";"C:\UltraStar canciones\Maná con Shakira - Mi verdad\Maná con Shakira - Mi verdad [MULTI].txt";"C:\UltraStar canciones\Maná con Shakira - Mi verdad\Maná con Shakira - Mi verdad.mp3";"C:\UltraStar canciones\Maná con Shakira - Mi verdad\Maná con Shakira - Mi verdad.mp4"
"Manfred Mann";"Do Wah Diddy Diddy";"N/A";"N/A";"English";"Manfred Mann - Do Wah Diddy Diddy.txt";"C:\UltraStar canciones\M\Manfred Mann - Do Wah Diddy Diddy\Manfred Mann - Do Wah Diddy Diddy.txt";"N/A";"N/A"
"Manowar";"Warriors Of The World";"N/A";"N/A";"N/A";"Manowar - Warriors Of The World.txt";"C:\UltraStar canciones\M\Manowar - Warriors Of The World\Manowar - Warriors Of The World.txt";"N/A";"N/A"
"Man�";"Mariposa traicionera";"N/A";"Rock Latino";"Espa�ol";"Maná - Mariposa traicionera.txt";"C:\UltraStar canciones\Maná - Mariposa traicionera\Maná - Mariposa traicionera.txt";"C:\UltraStar canciones\Maná - Mariposa traicionera\Maná - Mariposa traicionera.mp3";"C:\UltraStar canciones\Maná - Mariposa traicionera\Maná - Mariposa traicionera.mp4"
"Man�";"Ojal� pudiera borrarte";"N/A";"N/A";"Espa�ol";"Maná - Ojalá pudiera borrarte.txt";"C:\UltraStar canciones\Maná - Ojalá pudiera borrarte\Maná - Ojalá pudiera borrarte.txt";"C:\UltraStar canciones\Maná - Ojalá pudiera borrarte\Maná - Ojalá pudiera borrarte.mp3";"C:\UltraStar canciones\Maná - Ojalá pudiera borrarte\Maná - Ojalá pudiera borrarte.avi"
