"Artista";"Titulo";"Duracion";"Categoria";"Idioma";"Carpeta";"Letra";"Cancion";"Video"
"Amaral";"Días de verano";"N/A";"N/A";"Español";"Amaral - Días de verano.txt";"C:\UltraStar canciones\Amaral - Días de verano\Amaral - Días de verano.txt";"C:\UltraStar canciones\Amaral - Días de verano\Amaral - Días de verano.mp3";"C:\UltraStar canciones\Amaral - Días de verano\Amaral - Días de verano.avi"
"Amaral";"El universo sobre mi";"N/A";"Rock";"Español";"Amaral - El universo sobre mi.txt";"C:\UltraStar canciones\Amaral - El universo sobre mi\Amaral - El universo sobre mi.txt";"C:\UltraStar canciones\Amaral - El universo sobre mi\Amaral - El universo sobre mi.mp3";"C:\UltraStar canciones\Amaral - El universo sobre mi\Amaral - El universo sobre mi.avi"
"Amaral";"Moriría por vos";"N/A";"N/A";"Español";"Amaral - Moriría por vos.txt";"C:\UltraStar canciones\Amaral - Moriría por vos\Amaral - Moriría por vos.txt";"C:\UltraStar canciones\Amaral - Moriría por vos\Amaral - Moriría por vos.mp3";"C:\UltraStar canciones\Amaral - Moriría por vos\Amaral - Moriría por vos.avi"
"Amaral";"Sin ti no soy nada";"N/A";"Pop";"Espa�ol";"Amaral - Sin ti no soy nada.txt";"C:\UltraStar canciones\Amaral - Sin ti no soy nada\Amaral - Sin ti no soy nada.txt";"C:\UltraStar canciones\Amaral - Sin ti no soy nada\Amaral - Sin ti no soy nada.mp3";"C:\UltraStar canciones\Amaral - Sin ti no soy nada\Amaral - Sin ti no soy nada.avi"
"Amaral";"Te necesito";"N/A";"Pop";"Español";"Amaral - Te necesito.txt";"C:\UltraStar canciones\Amaral - Te necesito\Amaral - Te necesito.txt";"C:\UltraStar canciones\Amaral - Te necesito\Amaral - Te necesito.mp3";"C:\UltraStar canciones\Amaral - Te necesito\Amaral - Te necesito.avi"
"Amaral y Beto Cuevas";"Te necesito";"N/A";"N/A";"Español";"Amaral y Beto Cuevas - Te necesito.txt";"C:\UltraStar canciones\Amaral y Beto Cuevas - Te necesito\Amaral y Beto Cuevas - Te necesito.txt";"C:\UltraStar canciones\Amaral y Beto Cuevas - Te necesito\Amaral y Beto Cuevas - Te necesito.mp3";"C:\UltraStar canciones\Amaral y Beto Cuevas - Te necesito\Amaral y Beto Cuevas - Te necesito.mp4"
"Amaral y Beto Cuevas";"Te necesito";"N/A";"N/A";"Español";"Amaral y Beto Cuevas - Te necesito [MULTI].txt";"C:\UltraStar canciones\Amaral y Beto Cuevas - Te necesito\Amaral y Beto Cuevas - Te necesito [MULTI].txt";"C:\UltraStar canciones\Amaral y Beto Cuevas - Te necesito\Amaral y Beto Cuevas - Te necesito.mp3";"C:\UltraStar canciones\Amaral y Beto Cuevas - Te necesito\Amaral y Beto Cuevas - Te necesito.mp4"
"America";"The last unicorn";"N/A";"N/A";"N/A";"America - The Last Unicorn.txt";"C:\UltraStar canciones\A\America - The Last Unicorn\America - The Last Unicorn.txt";"N/A";"N/A"
"Amon Amarth";"Cry of the black birds";"N/A";"N/A";"N/A";"Amon Amarth - Cry of the black birds.txt";"C:\UltraStar canciones\A\Amon Amarth - Cry of the black birds\Amon Amarth - Cry of the black birds.txt";"N/A";"N/A"
"Amy Winehouse";"Rehab";"N/A";"N/A";"English";"Amy Winehouse - Rehab.txt";"C:\UltraStar canciones\A\Amy Winehouse - Rehab\Amy Winehouse - Rehab.txt";"N/A";"N/A"
